model,trace_id,prompt_id,no_gap_flag,static_gap_final_label_do_not_route,recovery_static,recovery_m11b_top5,recovery_m11b_top10,oracle_best,oracle_recovery,early_drift_top1,early_drift_top5,early_drift_top10,early_churn_top1,early_churn_top5,early_churn_top10,top1_margin_1000,top5_margin_1000,top10_margin_1000
Nemotron,9,opencompass_AIME2025_I_9,False,0.00030332954505,0,-0.0254883323767,0.385808407078,m11b_top10,0.385808407078,0.816604333085,0.816261935013,0.830489168091,0.794681932007,0.780404147747,0.804264668886,0.00782297147573,0.00147804352532,0.00108673043566
Nemotron,10,opencompass_AIME2025_I_10,False,2.13396811348,0,0.422879240973,0.95471468485,m11b_top10,0.95471468485,0.810091320461,0.792279067165,0.818153961126,0.799092249036,0.775606314393,0.803646382673,0.0109663374479,0.00237633676037,0.000706898959761
Nemotron,11,opencompass_AIME2025_I_11,False,0.000611782328174,0,0.356105816479,0.0618676244513,m11b_top5,0.356105816479,0.480186210382,0.573980459314,0.635709267278,0.126062568386,0.172919426644,0.20302809285,0.00861874351499,0.00143553543652,0.000721091179761
DeepSeek,0,opencompass_AIME2025_I_0,False,0.00305272901434,0,-0.694241194323,-0.700773315381,static,0,0.796592720559,0.81568593698,0.768075157332,0.714336539699,0.782903447741,0.769028552195,0.0141051034683,0.00365955303243,0.00203373091586
DeepSeek,1,opencompass_AIME2025_I_1,True,-0.000647302105578,0,,,,,0.747540630522,0.787368880385,0.768678426874,0.749204416163,0.770782701795,0.750541236351,0.00896864800448,0.0039829832254,0.000765461967929
DeepSeek,2,opencompass_AIME2025_I_2,False,0.0161017894999,0,0.368648604373,0.509621050739,m11b_top10,0.509621050739,0.518965778207,0.63459956187,0.656259915018,0.118112772141,0.160612675569,0.168937228797,0.0228274184615,0.00303429318808,0.00197057175984
DeepSeek,3,opencompass_AIME2025_I_3,False,0.0743905784551,0,0.452536715701,0.436619624063,m11b_top5,0.452536715701,0.759473882455,0.765980132382,0.756657630369,0.758613995044,0.805979682174,0.794675409461,0.0127788320541,0.00242767934146,0.00260357220166
DeepSeek,4,opencompass_AIME2025_I_4,False,0.000326135087351,0,-1.25023436685,-1.59293119376,static,0,0.694216388626,0.810865284369,0.792575199222,0.682296613742,0.757913033646,0.760364374816,0.0220543823033,0.0022199193297,0.00121014047217
DeepSeek,5,opencompass_AIME2025_I_5,False,0.00209142367738,0,0.566069389875,0.720644164165,m11b_top10,0.720644164165,0.79623026601,0.824239078371,0.819482024925,0.781288776266,0.80476169944,0.793957671435,0.0128811370822,0.00279342268636,0.00184545837236
DeepSeek,6,opencompass_AIME2025_I_6,False,0.00132800242947,0,-1.07857614983,-0.409095029238,static,0,0.72870909169,0.835385347153,0.833905139386,0.75019244907,0.804650295369,0.792486290348,0.00936139451341,0.00338150340391,0.00146585098842
