unit_id,root,path,file_count,row_count,partition_status,scan_statuses
experimental/shared/results/ssq_lr_s3_transfer_granite_350m_12p_layer30_20260507,experimental,experimental/shared/results/ssq_lr_s3_transfer_granite_350m_12p_layer30_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_transfer_granite_350m_12p_layers0_30_20260507,experimental,experimental/shared/results/ssq_lr_s3_transfer_granite_350m_12p_layers0_30_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_transfer_prefilter_layers0_30_20260507,experimental,experimental/shared/results/ssq_lr_s3_transfer_prefilter_layers0_30_20260507,5,5,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_transfer_prefilter_mixed25_layers0_30_20260507,experimental,experimental/shared/results/ssq_lr_s3_transfer_prefilter_mixed25_layers0_30_20260507,10,10,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_transfer_smoke_granite_350m_layers0_30_20260507,experimental,experimental/shared/results/ssq_lr_s3_transfer_smoke_granite_350m_layers0_30_20260507,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/sinkkv/phase2/results/sinkkv_deterministic_probe,experimental,experimental/sinkkv/phase2/results/sinkkv_deterministic_probe,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/ssm_lifecycle/phase0/results/ssml_phase0_20260508T165752Z,experimental,experimental/ssm_lifecycle/phase0/results/ssml_phase0_20260508T165752Z,47,47,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level', 'npz_file_level']"
experimental/ssm_shape_codec/phase0/results/ssc_phase0_20260508T173705Z,experimental,experimental/ssm_shape_codec/phase0/results/ssc_phase0_20260508T173705Z,47,47,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level', 'npz_file_level']"
experimental/ssq_lr/phase2/results/ssq_lr_synthetic_s1,experimental,experimental/ssq_lr/phase2/results/ssq_lr_synthetic_s1,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/thoughtflow_fp8/phase2/results/thoughtflow_paper_polish_20260508T0050Z,experimental,experimental/thoughtflow_fp8/phase2/results/thoughtflow_paper_polish_20260508T0050Z,3,3,no_named_partition_detected,['large_json_file_level']
results/anchor_relative_sparse_packet_gate_20260429_smoke,results,results/anchor_relative_sparse_packet_gate_20260429_smoke,14,14,named_dev_gate_no_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
results/answer_null_predicate_syndrome_20260427,results,results/answer_null_predicate_syndrome_20260427,2,2,prior_eval_rows_present_no_clean_confirm,['large_json_file_level']
results/arc_controls_20260415,results,results/arc_controls_20260415,1,1,no_named_partition_detected,['large_json_file_level']
results/arc_controls_fast_20260415_phase1,results,results/arc_controls_fast_20260415_phase1,9,9,no_named_partition_detected,"['large_csv_file_level', 'large_json_file_level', 'large_jsonl_file_level']"
results/arc_controls_fast_20260415_phase1b,results,results/arc_controls_fast_20260415_phase1b,9,9,prior_eval_rows_present_no_clean_confirm,"['large_csv_file_level', 'large_json_file_level', 'large_jsonl_file_level']"
results/arc_controls_fast_20260415_phase2,results,results/arc_controls_fast_20260415_phase2,3,3,prior_eval_rows_present_no_clean_confirm,['large_jsonl_file_level']
results/arc_controls_fast_20260415_phase3,results,results/arc_controls_fast_20260415_phase3,7,7,no_named_partition_detected,"['large_csv_file_level', 'large_json_file_level', 'large_jsonl_file_level']"
results/arc_heldout_gate_20260415,results,results/arc_heldout_gate_20260415,2,2,prior_eval_rows_present_no_clean_confirm,['large_jsonl_file_level']
results/arc_k_only_fixed_20260417,results,results/arc_k_only_fixed_20260417,8,8,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/asym_kv_qwen_20260421,results,results/asym_kv_qwen_20260421,42,42,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
results/asym_kv_real_20260421,results,results/asym_kv_real_20260421,2,2,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/attention_fidelity_20260418,results,results/attention_fidelity_20260418,2,2,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/attention_fidelity_gate_20260419,results,results/attention_fidelity_gate_20260419,2,2,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
results/attention_match_20260418,results,results/attention_match_20260418,2,2,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/attention_procrustes_20260418,results,results/attention_procrustes_20260418,2,2,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/attention_stratified_selector_20260420,results,results/attention_stratified_selector_20260420,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/attention_template_transport_20260418,results,results/attention_template_transport_20260418,2,2,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/bridge_qkcab_20260419,results,results/bridge_qkcab_20260419,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/bridge_qkcabbank_20260419,results,results/bridge_qkcabbank_20260419,2,2,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/bridge_qkemkd_20260420,results,results/bridge_qkemkd_20260420,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/bridge_ridge_qk_asym_adapter_20260420,results,results/bridge_ridge_qk_asym_adapter_20260420,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/bridge_ridge_qk_asym_dynmap_adapter_20260420,results,results/bridge_ridge_qk_asym_dynmap_adapter_20260420,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/bridge_ridge_qk_asym_predkl_adapter_20260420,results,results/bridge_ridge_qk_asym_predkl_adapter_20260420,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
results/bridge_ridge_qk_asym_projector_20260420,results,results/bridge_ridge_qk_asym_projector_20260420,2,2,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
