experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
01_static_top1_static_union,Granite,union_primary,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.00027679884431108803,0.0013175698674672276,0.0014529230715538688,0.0010416010873395276,False,-0.13012739071675528,0.0,64,10000,perplexity_bf16=1.000276837156646; perplexity_static=1.0013184382439855; perplexity_method=1.0014539790756487
01_static_top1_static_union,Granite,grid_dense,static_1pct,15,opencompass_AIME2025_II_0,AIME-2025,,0.08831268870540043,0.19578705136913754,0.09290201369412898,0.12393824740635684,False,0.959459031814433,0.959459031814433,64,10000,perplexity_bf16=1.0923296277700987; perplexity_static=1.2162678751764555; perplexity_method=1.0973542043151747
01_static_top1_static_union,Granite,grid_sparse,static_1pct,15,opencompass_AIME2025_II_0,AIME-2025,,0.08831268870540043,0.19578705136913754,0.11603168736283465,0.12393824740635684,False,0.752281234024911,0.752281234024911,64,10000,perplexity_bf16=1.0923296277700987; perplexity_static=1.2162678751764555; perplexity_method=1.1230314574747167
01_static_top1_static_union,Granite,magnitude_average,static_1pct,15,opencompass_AIME2025_II_0,AIME-2025,,0.08831268870540043,0.19578705136913754,0.1287271049000367,0.12393824740635684,False,0.6365119756228972,0.6365119756228972,64,10000,perplexity_bf16=1.0923296277700987; perplexity_static=1.2162678751764555; perplexity_method=1.137379696464596
01_static_top1_static_union,Granite,static_2pct,static_1pct,15,opencompass_AIME2025_II_0,AIME-2025,,0.08831268870540043,0.19578705136913754,0.16649975566321018,0.12393824740635684,False,0.2832428942831139,0.2832428942831139,64,10000,perplexity_bf16=1.0923296277700987; perplexity_static=1.2162678751764555; perplexity_method=1.1811632472687024
01_static_top1_static_union,Granite,union_primary,static_1pct,15,opencompass_AIME2025_II_0,AIME-2025,,0.08831268870540043,0.19578705136913754,0.11233378932857363,0.12393824740635684,False,0.7857268163451103,0.7857268163451103,64,10000,perplexity_bf16=1.0923296277700987; perplexity_static=1.2162678751764555; perplexity_method=1.1188862706184661
01_static_top1_static_union,Granite,grid_dense,static_1pct,16,opencompass_AIME2025_II_1,AIME-2025,,8.839413919758954e-05,0.0012405308522147607,0.00045447120839980926,0.0011529025828154182,False,0.682387345236798,0.682387345236798,64,10000,perplexity_bf16=1.0000883980460746; perplexity_static=1.00124130062889; perplexity_method=1.000454574496086
01_static_top1_static_union,Granite,grid_sparse,static_1pct,16,opencompass_AIME2025_II_1,AIME-2025,,8.839413919758954e-05,0.0012405308522147607,0.0003111550018957132,0.0011529025828154182,False,0.806743975700203,0.806743975700203,64,10000,perplexity_bf16=1.0000883980460746; perplexity_static=1.00124130062889; perplexity_method=1.0003112034156345
01_static_top1_static_union,Granite,magnitude_average,static_1pct,16,opencompass_AIME2025_II_1,AIME-2025,,8.839413919758954e-05,0.0012405308522147607,0.0007570860178134353,0.0011529025828154182,False,0.4197474759207921,0.4197474759207921,64,10000,perplexity_bf16=1.0000883980460746; perplexity_static=1.00124130062889; perplexity_method=1.0007573726797707
01_static_top1_static_union,Granite,static_2pct,static_1pct,16,opencompass_AIME2025_II_1,AIME-2025,,8.839413919758954e-05,0.0012405308522147607,0.0007466674268243878,0.0011529025828154182,False,0.4287911085625923,0.4287911085625923,64,10000,perplexity_bf16=1.0000883980460746; perplexity_static=1.00124130062889; perplexity_method=1.00074694625234
