row_id,contribution,method,surface,status,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,mean_payload_tokens,p50_latency_ms,p95_latency_ms,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,comparator,note
canonical_rasp::source_private_relative_canonical_remap127_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 127,near-miss,0.453125,0.25,0.275390625,0.203125,0.177734375,4.0,,4.154041998845059,,,0.146484375,-0.009765625,scalar packet,scalar=0.428; relative_minus_scalar=0.025
canonical_rasp::source_private_relative_canonical_remap131_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 131,near-miss,0.505859375,0.25,0.28125,0.255859375,0.224609375,4.0,,4.022082997835241,,,0.197265625,0.03515625,scalar packet,scalar=0.434; relative_minus_scalar=0.072
canonical_rasp::source_private_relative_canonical_remap127_large_20260429,canonical RASP larger-slice confirmation,4-byte canonical RASP,remap 127,pass,0.4423828125,0.25,0.275390625,0.1923828125,0.1669921875,4.0,,4.329582996433601,,,0.15234375,0.052734375,scalar packet,scalar=0.361; relative_minus_scalar=0.081
canonical_rasp_cross_family_core_to_holdout,canonical RASP cross-family falsification,4-byte canonical RASP,core -> holdout,fail,0.20703125,0.25,0.494140625,-0.04296875,-0.287109375,4.0,1.0,4.47493749379646,,,,,,scalar=0.225; controls_ok=False
canonical_rasp_cross_family_holdout_to_core,canonical RASP cross-family falsification,4-byte canonical RASP,holdout -> core,pass,0.4921875,0.25,0.25,0.2421875,0.2421875,4.0,1.0,4.403437495057005,,,,,,scalar=0.375; controls_ok=True
consistent_posterior_core_to_holdout_large,consistency posterior negative ablation,4-byte consistent posterior packet,core -> holdout large,fail,0.353515625,0.25,0.35546875,0.103515625,-0.001953125,4.0,1.0,3.6132085078861564,,,,,,order-mismatch matched source in this failed row; scalar=0.370; controls_ok=False
consistent_posterior_holdout_to_core_large,consistency posterior negative ablation,4-byte consistent posterior packet,holdout -> core large,pass,0.4951171875,0.25,0.25,0.2451171875,0.2451171875,4.0,1.0,3.4169579957961105,,,,,,scalar=0.368; controls_ok=True
qwen35_0_8b_seed29,model-emitted source packet,Qwen3.5-0.8B,n160 seed29,pass,1.0,0.25,0.25625,0.75,0.74375,2.0,5.0,12058.683416500571,,1.0,,,,n=160; exact_id_parity=True
qwen35_0_8b_seed31,model-emitted source packet,Qwen3.5-0.8B,n160 seed31,pass,1.0,0.25,0.25,0.75,0.75,2.0,5.0,10997.94072900113,,1.0,,,,n=160; exact_id_parity=True
qwen35_2b_seed29,model-emitted source packet,Qwen3.5-2B,n160 seed29,pass,1.0,0.25,0.25625,0.75,0.74375,2.0,5.0,13878.23506299901,,1.0,,,,n=160; exact_id_parity=True
qwen35_4b_seed29,model-emitted source packet,Qwen3.5-4B,n64 seed29,pass,1.0,0.25,0.25,0.75,0.75,2.0,5.0,27188.178833501297,,1.0,,,,n=64; exact_id_parity=True
gemma4_e2b_seed29,model-emitted source packet,Gemma 4 E2B,n64 seed29,pass,1.0,0.25,0.25,0.75,0.75,2.0,3.0,2178.51366699324,,1.0,,,,n=64; exact_id_parity=True
granite33_2b_seed29,model-emitted source packet,Granite 3.3 2B,n160 seed29,pass,0.63125,0.25,0.25625,0.38125,0.375,1.075,2.825,2815.509291503986,,0.5375,,,,n=160; exact_id_parity=True
granite33_2b_seed31,model-emitted source packet,Granite 3.3 2B,n160 seed31,pass,0.63125,0.25,0.25,0.38125,0.38125,1.075,2.825,3690.738187498937,,0.5375,,,,n=160; exact_id_parity=True
granite33_2b_raw_no_trace,model-emitted source packet,Granite raw-log/no-trace,n160 seed31,fail,0.25,0.25,0.25,0.0,0.0,0.0,2.95625,2856.919416502933,,0.0,,,,n=160; exact_id_parity=True
target_decoder_core_n64,target model decoder ablation,Qwen3 target decoder,core n64 CPU,pass,0.65625,0.25,0.25,0.40625,0.40625,2.0,1.0,2181.9882500058156,,1.0,,,,n=64; generated_tokens=13.0
