experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0005319706949562519,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0005321122164603
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.00044065574486262804,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0004407528478678
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0011186343874420857,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.001119260292253
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0023543403533512475,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0023571139888678
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.006026535975982128,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0060447320787083
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.311446794657968,0.0007722731060850752,False,-424.55081341787167,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.3653991379630723
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.38729800726287067,0.0007722731060850752,False,-563.8749079458157,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.4729953891966583
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.3510340381471906,0.0007722731060850752,False,-495.94594435568933,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.4205356774917715
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.02994647982995957,0.0007722731060850752,False,9.233232661200654,1.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.0303993853274358
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,0.007626387631556791,0.05071758947543281,False,0.8499415238891577,0.8499415238891577,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.0076555425942657
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,0.0004233793943438785,0.05071758947543281,False,0.9925365020223235,0.9925365020223235,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.0004234690320495
